"","v Afghanistan","v Australia","v Bangladesh","v England","v Hong Kong","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"158",65,57,71,43,67,79,59,18,50,35,64,69,30,85,53
"159",71,59,76,40,54,67,46,3,53,42,52,55,43,74,51
"160",74,67,86,54,58,88,54,6,56,48,68,67,37,79,43
"161",64,58,73,44,58,94,51,13,61,43,62,59,42,68,57
"162",78,61,81,41,58,76,66,13,58,62,82,57,51,78,52
"163",63,57,77,47,45,67,59,11,53,45,58,58,42,68,51
"164",76,52,82,34,51,75,53,6,71,35,72,66,50,83,34
"165",91,51,72,56,53,64,53,10,65,68,68,60,40,81,45
"166",67,59,78,39,53,60,54,11,60,52,56,49,30,79,47
"167",69,64,74,41,55,84,50,18,53,38,77,63,28,79,62
"168",60,65,72,43,59,79,66,26,63,57,61,63,39,78,52
"169",91,58,83,43,47,71,53,21,54,56,53,53,26,79,55
"170",65,64,84,44,54,77,57,13,62,57,89,59,37,65,56
"171",77,55,75,47,53,82,53,15,74,48,64,62,30,70,49
"172",70,59,76,48,62,62,57,18,57,57,45,42,37,72,64
"173",83,53,73,43,59,88,49,28,65,50,70,61,29,72,47
"174",66,55,81,39,63,92,55,9,47,56,63,69,21,66,50
"175",73,53,79,50,53,74,56,27,53,42,55,68,16,69,49
"176",56,48,75,44,70,94,50,8,51,64,51,56,46,81,54
"177",66,45,84,43,53,96,48,12,62,66,51,56,30,73,45
"178",74,51,72,53,61,78,62,6,62,52,69,76,41,81,56
"179",62,52,82,40,54,78,52,4,65,50,48,52,30,69,54
"180",61,50,83,43,52,79,55,10,64,43,62,55,29,74,52
"181",63,58,79,53,55,83,56,8,63,42,58,57,29,65,53
"182",80,46,71,37,61,73,55,13,52,48,57,62,20,64,55
"183",59,47,74,49,57,68,59,8,60,44,65,57,32,68,41
"184",72,53,72,57,55,88,53,7,55,54,64,65,41,63,54
"185",64,57,84,42,57,103,52,12,55,81,64,52,32,73,46
"186",66,49,70,51,53,75,55,27,67,49,57,62,35,73,54
"187",70,60,75,38,55,76,52,11,56,50,72,55,21,68,56
"188",78,51,75,48,63,82,59,7,67,54,73,55,33,67,46
"189",62,51,81,54,54,84,64,12,67,51,58,70,29,84,70
"190",54,58,67,37,52,70,54,5,52,61,63,66,38,57,41
"191",94,55,74,41,41,77,60,3,50,52,62,49,33,77,68
"192",71,63,74,49,55,89,51,12,66,54,66,67,32,64,45
"193",69,55,72,45,61,86,57,8,59,66,57,59,34,64,48
"194",60,49,79,35,53,97,57,11,55,41,58,56,36,72,46
"195",63,50,76,47,58,71,56,8,53,62,74,58,34,65,56
"196",68,49,72,54,58,96,66,6,71,53,61,51,32,92,60
