"","v csk","v dc","v kxip","v kkr","v mi","v rr","v srh"
"426",28,9,53,28,37,42,30
"427",25,9,50,28,63,38,43
"428",37,22,52,25,39,42,31
"429",33,21,52,23,39,38,34
"430",37,18,55,26,51,42,33
"431",33,14,55,28,43,49,35
"432",30,19,55,24,51,49,36
"433",27,16,53,31,30,37,36
"434",25,14,50,30,40,44,31
"435",23,24,44,30,49,42,39
"436",26,9,50,23,32,39,26
"437",23,16,56,33,54,34,33
"438",26,30,48,24,55,47,36
"439",21,21,51,29,27,40,43
"440",28,12,58,25,46,41,34
"441",29,11,55,31,49,43,36
"442",32,25,50,26,27,38,28
"443",32,16,52,31,32,36,29
"444",29,20,54,30,41,42,30
"445",32,21,59,23,51,49,33
"446",22,16,52,31,36,37,39
"447",34,37,58,26,46,44,41
"448",28,13,46,28,44,38,39
"449",29,19,59,30,39,46,35
"450",27,12,52,27,54,41,34
"451",27,14,60,30,48,37,31
"452",28,16,50,30,46,40,34
"453",29,13,61,25,46,45,29
"454",30,14,48,29,38,40,35
"455",25,21,50,26,44,42,31
"456",25,18,53,26,41,45,28
"457",23,13,50,27,35,43,30
"458",36,22,54,27,47,33,29
"459",32,8,50,29,37,38,34
"460",15,14,62,28,46,35,31
"461",21,19,57,26,41,43,35
"462",27,22,51,25,42,41,33
"463",23,17,49,31,38,41,28
"464",23,23,57,27,38,40,36
"465",20,15,53,24,48,40,38
"466",35,18,54,36,59,38,33
"467",27,24,48,28,39,44,30
"468",31,17,53,30,45,43,32
"469",23,19,49,20,36,41,24
"470",20,14,48,29,40,39,36
"471",28,15,54,25,49,51,37
"472",27,13,51,30,49,51,32
"473",37,22,52,28,32,39,29
"474",30,18,58,29,45,46,39
"475",20,11,55,26,50,36,34
"476",29,14,49,32,68,42,29
"477",31,32,53,26,50,45,35
"478",27,12,48,27,46,38,41
"479",21,15,53,28,41,49,38
"480",19,16,57,35,53,37,37
"481",35,19,55,28,43,48,41
"482",25,9,49,26,51,39,34
"483",25,40,59,25,46,39,32
"484",29,18,52,31,60,43,38
"485",33,22,44,25,45,42,22
"486",27,16,53,27,36,43,28
"487",39,15,52,29,34,41,36
"488",19,16,46,26,45,44,31
"489",41,9,50,30,35,43,29
"490",27,27,50,27,59,41,36
"491",36,9,54,31,50,36,34
"492",35,13,54,39,47,47,37
"493",24,18,52,26,43,42,33
"494",38,12,46,31,46,45,38
"495",27,12,50,27,46,45,42
"496",22,9,57,29,47,39,37
"497",23,20,56,29,41,46,42
"498",39,15,54,22,48,38,30
"499",20,11,50,29,45,43,39
"500",22,21,53,26,44,50,34
"501",18,8,57,33,46,45,35
"502",43,16,56,26,41,41,33
"503",31,16,48,23,40,44,21
"504",27,24,48,26,51,46,35
"505",29,14,54,24,40,42,37
"506",27,15,57,33,52,45,39
"507",32,17,56,34,48,42,37
"508",21,18,60,22,46,44,31
"509",38,17,51,28,35,42,36
"510",19,13,54,25,40,49,37
"511",33,25,52,28,46,44,31
"512",34,14,52,28,62,40,37
"513",29,13,44,24,54,42,36
"514",36,20,51,27,57,35,38
"515",35,16,52,24,50,43,32
"516",35,27,57,26,44,42,36
"517",21,14,55,28,41,38,35
"518",23,19,51,26,56,38,37
"519",28,14,49,30,40,41,39
"520",34,34,49,25,55,39,29
"521",33,11,53,30,49,44,29
"522",26,16,55,36,48,40,39
"523",26,20,60,36,51,43,29
"524",22,15,53,30,49,47,45
"525",28,23,51,33,43,37,37
"526",29,20,60,26,33,40,33
"527",23,34,52,25,40,38,34
"528",33,23,54,29,45,40,33
"529",29,22,58,27,58,37,38
"530",32,19,51,26,41,42,40
"531",27,18,59,28,54,47,39
"532",33,16,53,28,35,42,32
"533",32,15,48,31,41,44,32
"534",23,6,49,28,59,36,25
"535",19,14,49,26,55,42,32
"536",38,15,52,25,40,39,37
"537",32,10,56,23,51,41,35
"538",24,23,54,26,49,47,42
"539",27,14,54,28,44,44,30
"540",32,3,48,28,34,40,38
"541",31,14,53,26,48,41,37
"542",22,20,57,30,38,34,36
"543",33,27,56,33,44,45,32
"544",24,21,53,29,48,40,33
"545",31,21,55,25,46,52,31
"546",22,10,52,31,47,42,33
"547",29,15,58,29,37,37,33
"548",25,19,53,34,40,35,35
"549",33,12,50,21,44,48,45
"550",26,20,49,34,36,42,36
"551",39,25,48,29,30,47,46
"552",28,18,50,29,48,45,35
"553",20,20,52,29,45,49,27
"554",33,29,49,24,46,38,37
"555",34,15,47,27,55,38,37
"556",30,17,51,34,42,39,38
"557",21,18,52,26,48,43,28
"558",45,22,50,31,38,39,39
"559",26,16,63,29,42,38,31
"560",26,9,50,27,46,43,37
"561",26,20,56,27,37,42,37
"562",16,11,62,32,52,50,33
"563",25,17,49,29,31,39,46
"564",22,8,49,27,42,43,26
"565",35,23,52,24,54,40,44
"566",31,17,54,29,34,48,28
"567",45,15,56,31,40,48,33
"568",37,9,51,28,38,44,40
"569",23,10,52,28,54,41,28
"570",23,14,52,28,42,43,29
"571",21,7,55,27,51,41,32
"572",23,20,57,33,37,43,46
"573",27,16,57,32,50,33,31
"574",30,14,60,28,52,39,31
"575",33,11,53,23,42,43,36
"576",28,20,58,28,43,34,30
"577",22,23,45,27,47,46,38
"578",38,9,50,32,48,48,30
"579",32,23,60,29,50,44,39
"580",25,23,43,31,29,40,30
"581",29,27,55,31,39,39,38
"582",23,18,52,26,54,38,24
"583",37,11,54,30,46,44,37
"584",26,17,52,27,43,44,31
"585",33,20,54,31,39,49,32
"586",26,10,57,23,44,39,35
"587",24,14,52,25,39,42,40
"588",19,8,55,31,50,58,38
"589",35,14,51,36,46,37,38
"590",28,13,48,35,57,44,34
"591",28,19,49,29,55,33,32
"592",20,25,51,30,55,45,32
"593",31,17,46,33,41,38,34
"594",24,16,53,28,35,42,31
"595",22,16,54,27,48,47,30
"596",30,15,52,27,52,42,37
"597",40,15,55,34,55,45,42
"598",26,11,52,28,54,40,33
"599",30,31,60,24,36,40,35
"600",32,17,54,30,46,41,33
"601",30,9,53,25,42,40,33
"602",34,17,57,28,42,40,41
"603",23,13,50,28,53,37,43
"604",24,26,60,21,38,42,34
"605",19,11,57,29,46,41,28
"606",25,30,51,31,45,47,20
"607",26,17,50,28,47,40,40
"608",25,35,57,30,45,39,30
"609",28,18,55,27,51,40,31
"610",38,22,59,26,40,46,35
"611",30,8,54,29,48,41,32
"612",22,9,54,28,35,43,27
"613",24,20,45,32,37,45,34
"614",38,21,52,33,52,40,39
"615",28,26,50,32,39,38,33
"616",28,10,56,30,36,44,35
"617",28,16,49,24,46,44,26
"618",34,13,55,31,41,37,28
"619",18,18,48,29,39,45,36
"620",20,17,54,23,43,36,36
"621",25,17,55,26,42,45,34
"622",31,26,53,29,47,42,32
"623",30,28,57,24,37,44,31
"624",33,13,55,31,43,47,36
"625",30,26,53,23,44,43,25
"626",24,13,59,31,55,43,31
"627",31,10,53,34,37,39,42
"628",41,9,52,32,58,39,31
"629",26,13,50,24,49,42,32
