"","v Afghanistan","v Bangladesh","v England","v Hong Kong","v India","v Ireland","v Kenya","v Netherlands","v New Zealand","v Pakistan","v South Africa","v Sri Lanka","v U.A.E.","v West Indies","v Zimbabwe"
"283",49,37,48,26,36,3,39,38,8,52,11,48,33,24,55
"284",47,36,34,31,43,12,30,32,10,50,14,46,35,21,55
"285",40,31,34,37,37,2,26,29,11,62,11,36,31,22,50
"286",48,35,36,30,37,5,36,32,9,50,11,34,33,21,51
"287",55,30,38,28,32,1,30,36,8,54,8,28,35,25,55
"288",46,33,46,30,32,1,36,31,8,57,12,44,34,19,51
"289",50,37,36,37,38,2,30,26,9,55,11,33,38,25,56
"290",47,38,38,29,34,2,35,30,8,59,10,39,30,22,49
"291",41,33,32,33,42,4,26,28,8,52,11,47,27,19,46
"292",49,36,48,37,34,3,34,32,11,58,10,40,28,23,54
"293",47,29,45,37,41,2,29,22,10,54,16,41,30,21,55
"294",48,36,41,33,35,2,32,29,8,51,12,40,32,21,47
"295",45,33,33,28,28,2,27,30,7,56,10,42,27,27,57
"296",45,38,42,26,31,8,25,35,7,45,9,42,37,23,49
"297",49,48,33,27,36,1,34,34,10,54,12,31,31,24,47
"298",47,30,30,29,28,2,34,34,5,52,12,49,28,18,56
"299",53,42,37,34,30,2,30,34,11,52,8,52,31,27,49
"300",46,34,33,32,26,1,29,36,9,53,11,43,30,22,55
"301",53,36,32,29,42,1,33,34,9,58,9,38,31,27,51
"302",41,32,34,27,34,4,29,30,11,48,9,40,30,19,58
"303",54,38,38,33,37,1,33,30,7,55,13,34,30,25,51
"304",45,31,40,29,37,1,30,36,9,51,10,35,29,21,45
"305",50,32,34,31,31,1,40,36,9,59,15,31,30,20,52
"306",50,43,36,30,38,1,31,28,10,55,11,39,29,18,48
"307",44,36,32,37,32,4,33,26,9,52,8,34,29,23,58
"308",52,33,37,35,32,1,33,32,6,49,8,56,28,24,55
"309",42,22,31,27,25,7,30,30,10,55,10,51,35,22,48
"310",45,34,50,28,41,1,24,33,10,47,12,32,33,19,48
"311",49,35,33,30,33,7,35,29,9,56,9,43,35,20,51
"312",43,37,40,30,31,4,32,28,8,49,10,48,33,20,50
"313",39,29,46,30,49,3,30,35,10,46,9,46,33,20,51
"314",45,28,36,30,42,2,28,37,7,52,9,38,31,24,47
"315",43,35,33,33,33,3,34,37,8,53,12,45,27,24,54
"316",45,32,37,27,31,3,33,29,7,46,12,42,33,20,55
